source,reference,tamil_script,ai_output,category
Laptop bag la chain stuck aayiducvanakkam.,The zipper on the laptop bag got stuck.,ளப்தோப் பக் ல சைந் ஸ்துச்க் ஆயிதுசி।,,Slang_Replacement
Laptop bag la chain stuck aayiduchi.,The zipper on the laptop bag got stuck.,ளப்தோப் பக் ல சைந் ஸ்துச்க் ஆயிதுசி।,,Lexical_Loan_Words
Laptop bag la chain stuck aayiduchi. please,The zipper on the laptop bag got stuck. (polite),ளப்தோப் பக் ல சைந் ஸ்துச்க் ஆயிதுசி।,,Style_Variation
Inda song lyrics romba deep ah iruku.,The lyrics of this song are very deep.,ஈந்த ஸோந்க் ல்ய்ரிச்ஸ் ரோம்ப தீப் அஹ் இருகு।,,Phonetic_Variation
Intha song lyrics romba deep ah iruku.,The lyrics of this song are very deep.,ஈந்த ஸோந்க் ல்ய்ரிச்ஸ் ரோம்ப தீப் அஹ் இருகு।,,Slang_Replacement
Intha song lyrics romba deep ah iruku.,The lyrics of this song are very deep.,ஈந்த ஸோந்க் ல்ய்ரிச்ஸ் ரோம்ப தீப் அஹ் இருகு।,,Lexical_Loan_Words
Intha song lyrics romba deep ah iruku. please,The lyrics of this song are very deep. (polite),ஈந்த ஸோந்க் ல்ய்ரிச்ஸ் ரோம்ப தீப் அஹ் இருகு।,,Style_Variation
Rainy season start aaga pogudu pola.,It looks like the rainy season is about to start.,றைந்ய் ஸேஅஸோந் ஸ்தர்த் ஆக போகுது போல।,,Phonetic_Variation
Rainy season start aaga poguthu pola.,It looks like the rainy season is about to start.,றைந்ய் ஸேஅஸோந் ஸ்தர்த் ஆக போகுது போல।,,Slang_Replacement
Rainy season start aaga poguthu pola.,It looks like the rainy season is about to start.,றைந்ய் ஸேஅஸோந் ஸ்தர்த் ஆக போகுது போல।,,Lexical_Loan_Words
Rainy season start aaga poguthu pola. please,It looks like the rainy season is about to start. (polite),றைந்ய் ஸேஅஸோந் ஸ்தர்த் ஆக போகுது போல।,,Style_Variation
Headphones sound quality check pannanum.,I need to check the headphones' sound quality.,ஃஏஅத்போநேஸ் ஸோஉந்த் ஃ'குஅலித்ய் சேச்க் பந்நநும்।,,Phonetic_Variation
Headphones sound quality check pannaanum.,I need to check the headphones' sound quality.,ஃஏஅத்போநேஸ் ஸோஉந்த் ஃ'குஅலித்ய் சேச்க் பந்நநும்।,,Slang_Replacement
Headphones sound quality check pannanum.,I need to check the headphones' sound quality.,ஃஏஅத்போநேஸ் ஸோஉந்த் ஃ'குஅலித்ய் சேச்க் பந்நநும்।,,Lexical_Loan_Words
Headphones sound quality check pannanum. please,I need to check the headphones' sound quality. (polite),ஃஏஅத்போநேஸ் ஸோஉந்த் ஃ'குஅலித்ய் சேச்க் பந்நநும்।,,Style_Variation
Google drive la space ila nu varudu.,It says there is no space in Google Drive.,ஃக³ூக்லே த்ரிவே ல ஸ்பசே இல்ல நு வருது।,,Phonetic_Variation
Google drive la space illa nu varuthu.,It says there is no space in Google Drive.,ஃக³ூக்லே த்ரிவே ல ஸ்பசே இல்ல நு வருது।,,Slang_Replacement
Google drive la space illa nu varuthu.,It says there is no space in Google Drive.,ஃக³ூக்லே த்ரிவே ல ஸ்பசே இல்ல நு வருது।,,Lexical_Loan_Words
Google drive la space illa nu varuthu. please,It says there is no space in Google Drive. (polite),ஃக³ூக்லே த்ரிவே ல ஸ்பசே இல்ல நு வருது।,,Style_Variation
Inda product delivery charge romba high.,The delivery charge for this product is very high.,ஈந்த ப்ரோதுச்த் தேலிவேர்ய் சர்கே ரோம்ப ஹிக்।,,Phonetic_Variation
Intha product delivery charge romba vanakkamgh.,The delivery charge for this product is very high.,ஈந்த ப்ரோதுச்த் தேலிவேர்ய் சர்கே ரோம்ப ஹிக்।,,Slang_Replacement
Intha product delivery charge romba high.,The delivery charge for this product is very high.,ஈந்த ப்ரோதுச்த் தேலிவேர்ய் சர்கே ரோம்ப ஹிக்।,,Lexical_Loan_Words
Intha product delivery charge romba high. please,The delivery charge for this product is very high. (polite),ஈந்த ப்ரோதுச்த் தேலிவேர்ய் சர்கே ரோம்ப ஹிக்।,,Style_Variation
Evening walk poga romba relax ah iruku.,It feels very relaxing to go for an evening walk.,Eவேநிந்க் வல்க் போக ரோம்ப ரேலக்ஷ் அஹ் இருகு।,,Phonetic_Variation
Evening walk poga romba relax ah iruku.,It feels very relaxing to go for an evening walk.,Eவேநிந்க் வல்க் போக ரோம்ப ரேலக்ஷ் அஹ் இருகு।,,Slang_Replacement
Evening walk poga romba relax ah iruku.,It feels very relaxing to go for an evening walk.,Eவேநிந்க் வல்க் போக ரோம்ப ரேலக்ஷ் அஹ் இருகு।,,Lexical_Loan_Words
Evening walk poga romba relax ah iruku. please,It feels very relaxing to go for an evening walk. (polite),Eவேநிந்க் வல்க் போக ரோம்ப ரேலக்ஷ் அஹ் இருகு।,,Style_Variation
Mobile screen glass break aayiduchi.,The mobile screen glass got broken.,ம்ஓபிலே ஸ்ச்ரீந் க்லஸ்ஸ் ப்ரேஅக் ஆயிதுசி।,,Phonetic_Variation
Mobile screen glass break aayiducvanakkam.,The mobile screen glass got broken.,ம்ஓபிலே ஸ்ச்ரீந் க்லஸ்ஸ் ப்ரேஅக் ஆயிதுசி।,,Slang_Replacement
Mobile screen glass break aayiduchi.,The mobile screen glass got broken.,ம்ஓபிலே ஸ்ச்ரீந் க்லஸ்ஸ் ப்ரேஅக் ஆயிதுசி।,,Lexical_Loan_Words
Mobile screen glass break aayiduchi. please,The mobile screen glass got broken. (polite),ம்ஓபிலே ஸ்ச்ரீந் க்லஸ்ஸ் ப்ரேஅக் ஆயிதுசி।,,Style_Variation
Next week trip ku ready aagiko.,Get ready for the trip next week.,ணேக்ஷ்த் வீக் த்ரிப் கு ரேஅத்ய் ஆகிகோ।,,Phonetic_Variation
Next week trip ku ready aagiko.,Get ready for the trip next week.,ணேக்ஷ்த் வீக் த்ரிப் கு ரேஅத்ய் ஆகிகோ।,,Slang_Replacement
Next week trip ku ready aagiko.,Get ready for the trip next week.,ணேக்ஷ்த் வீக் த்ரிப் கு ரேஅத்ய் ஆகிகோ।,,Lexical_Loan_Words
Next week trip ku ready aagiko. please,Get ready for the trip next week. (polite),ணேக்ஷ்த் வீக் த்ரிப் கு ரேஅத்ய் ஆகிகோ।,,Style_Variation
